Date,Banks,Integration
2014Q1,ASSOCIATED BANC CORP,0.8414680548595523
2014Q2,ASSOCIATED BANC CORP,0.6777428475956433
2014Q3,ASSOCIATED BANC CORP,0.7474254274242432
2014Q4,ASSOCIATED BANC CORP,0.8621899530077506
2015Q1,ASSOCIATED BANC CORP,NA
2015Q2,ASSOCIATED BANC CORP,NA
2015Q3,ASSOCIATED BANC CORP,NA
2015Q4,ASSOCIATED BANC CORP,NA
2016Q1,ASSOCIATED BANC CORP,NA
2016Q2,ASSOCIATED BANC CORP,NA
2016Q3,ASSOCIATED BANC CORP,NA
2016Q4,ASSOCIATED BANC CORP,NA
1993Q2,BANCORP HAWAII INC,0.28810537158830607
1993Q3,BANCORP HAWAII INC,0.6156105657220956
1993Q4,BANCORP HAWAII INC,0.019291840903567836
1994Q1,BANCORP HAWAII INC,0.569770778959665
1994Q2,BANCORP HAWAII INC,0.2355658787551842
1994Q3,BANCORP HAWAII INC,0.23073040325269767
1994Q4,BANCORP HAWAII INC,0.4585788476204059
1995Q1,BANCORP HAWAII INC,0.38759730245823676
1995Q2,BANCORP HAWAII INC,0.319999927713135
1995Q3,BANCORP HAWAII INC,0.8773730228672736
1995Q4,BANCORP HAWAII INC,0.7435234732518898
1996Q1,BANCORP HAWAII INC,0.6904914805158229
1996Q2,BANCORP HAWAII INC,0.6545694154066866
1996Q3,BANCORP HAWAII INC,0.4209460389452855
1996Q4,BANCORP HAWAII INC,0.4257061818494866
1997Q1,BANCORP HAWAII INC,0.8683138734121061
1997Q2,BANCORP HAWAII INC,NA
1997Q3,BANCORP HAWAII INC,NA
1997Q4,BANCORP HAWAII INC,NA
1998Q1,BANCORP HAWAII INC,NA
1998Q2,BANCORP HAWAII INC,NA
1998Q3,BANCORP HAWAII INC,NA
1998Q4,BANCORP HAWAII INC,NA
1999Q1,BANCORP HAWAII INC,NA
1999Q2,BANCORP HAWAII INC,NA
1999Q3,BANCORP HAWAII INC,NA
1999Q4,BANCORP HAWAII INC,NA
2000Q1,BANCORP HAWAII INC,NA
2000Q2,BANCORP HAWAII INC,NA
2000Q3,BANCORP HAWAII INC,NA
2000Q4,BANCORP HAWAII INC,NA
2001Q1,BANCORP HAWAII INC,NA
2001Q2,BANCORP HAWAII INC,NA
2001Q3,BANCORP HAWAII INC,NA
2001Q4,BANCORP HAWAII INC,NA
2002Q1,BANCORP HAWAII INC,NA
2002Q2,BANCORP HAWAII INC,NA
2002Q3,BANCORP HAWAII INC,NA
2002Q4,BANCORP HAWAII INC,NA
2003Q1,BANCORP HAWAII INC,NA
2003Q2,BANCORP HAWAII INC,NA
2003Q3,BANCORP HAWAII INC,NA
2003Q4,BANCORP HAWAII INC,NA
