Date,Banks,Integration
1997Q2,ASSOCIATED BANC CORP,0.535059484488467
1997Q3,ASSOCIATED BANC CORP,0.2723881074694895
1997Q4,ASSOCIATED BANC CORP,0.7271838754234778
1998Q1,ASSOCIATED BANC CORP,0.6996067860677737
1998Q2,ASSOCIATED BANC CORP,0.4834137457760399
1998Q3,ASSOCIATED BANC CORP,0.7526969517524611
1998Q4,ASSOCIATED BANC CORP,0.7015515898065551
1999Q1,ASSOCIATED BANC CORP,0.4316286595905221
1999Q2,ASSOCIATED BANC CORP,0.8208700508053337
1999Q3,ASSOCIATED BANC CORP,0.391807746066439
1999Q4,ASSOCIATED BANC CORP,0.5474472878627121
2000Q1,ASSOCIATED BANC CORP,0.7145173249050305
2000Q2,ASSOCIATED BANC CORP,0.6984225833317761
2000Q3,ASSOCIATED BANC CORP,0.8473292916930377
2000Q4,ASSOCIATED BANC CORP,0.8103458973816827
2001Q1,ASSOCIATED BANC CORP,0.6470841934677736
2001Q2,ASSOCIATED BANC CORP,0.6245952156022812
2001Q3,ASSOCIATED BANC CORP,0.8004737354665183
2001Q4,ASSOCIATED BANC CORP,0.6121098383064321
2002Q1,ASSOCIATED BANC CORP,0.4944573276021009
2002Q2,ASSOCIATED BANC CORP,0.7152875060466659
2002Q3,ASSOCIATED BANC CORP,0.8753052856460978
2002Q4,ASSOCIATED BANC CORP,0.8951443086842528
2003Q1,ASSOCIATED BANC CORP,0.843311731349356
2003Q2,ASSOCIATED BANC CORP,0.7295855421518461
2003Q3,ASSOCIATED BANC CORP,0.7850349087266442
2003Q4,ASSOCIATED BANC CORP,0.6845840369260988
2004Q1,ASSOCIATED BANC CORP,0.8017293188484225
2004Q2,ASSOCIATED BANC CORP,0.679459359419496
2004Q3,ASSOCIATED BANC CORP,0.7856590602014186
2004Q4,ASSOCIATED BANC CORP,0.776005179299386
2005Q1,ASSOCIATED BANC CORP,0.7158064426578317
2005Q2,ASSOCIATED BANC CORP,0.7255122420978892
2005Q3,ASSOCIATED BANC CORP,0.676319476641924
2005Q4,ASSOCIATED BANC CORP,0.7112209676610598
2006Q1,ASSOCIATED BANC CORP,0.6543402840512049
2006Q2,ASSOCIATED BANC CORP,0.7391032252460763
2006Q3,ASSOCIATED BANC CORP,0.7682937151031997
2006Q4,ASSOCIATED BANC CORP,0.5392361417278777
2007Q1,ASSOCIATED BANC CORP,0.8000192846047329
2007Q2,ASSOCIATED BANC CORP,0.8861248101049273
2007Q3,ASSOCIATED BANC CORP,0.8801181684445897
2007Q4,ASSOCIATED BANC CORP,0.854887968639008
2008Q1,ASSOCIATED BANC CORP,0.8830909022043344
2008Q2,ASSOCIATED BANC CORP,0.856811471232737
2008Q3,ASSOCIATED BANC CORP,0.9063122414973774
2008Q4,ASSOCIATED BANC CORP,0.8136094059705462
2009Q1,ASSOCIATED BANC CORP,0.9367732933085372
2009Q2,ASSOCIATED BANC CORP,0.896071386537939
2009Q3,ASSOCIATED BANC CORP,0.7837601397172033
2009Q4,ASSOCIATED BANC CORP,0.5899127877198981
2010Q1,ASSOCIATED BANC CORP,0.7424367573866899
2010Q2,ASSOCIATED BANC CORP,0.7760372277338634
2010Q3,ASSOCIATED BANC CORP,0.7450174250178938
2010Q4,ASSOCIATED BANC CORP,0.7540969310824102
2011Q1,ASSOCIATED BANC CORP,0.6865585405611621
2011Q2,ASSOCIATED BANC CORP,0.6628341172774193
2011Q3,ASSOCIATED BANC CORP,0.9263948622734015
2011Q4,ASSOCIATED BANC CORP,0.837154215174081
2012Q1,ASSOCIATED BANC CORP,0.8542935905646343
2012Q2,ASSOCIATED BANC CORP,0.8786515563685611
2012Q3,ASSOCIATED BANC CORP,0.90302004019888
2012Q4,ASSOCIATED BANC CORP,0.7449724173180781
2013Q1,ASSOCIATED BANC CORP,0.8443378675488847
2013Q2,ASSOCIATED BANC CORP,0.8804497513466648
2013Q3,ASSOCIATED BANC CORP,0.884508694701839
2013Q4,ASSOCIATED BANC CORP,0.8694713384523511
