comnam,ncusip,cusip_8,siccd
O F G BANCORP,67103X10,67103X10,6022
OLD LINE BANCSHARES,67984M10,67984M10,6022
OLD NATIONAL BANCORP,68003310,68003310,6710
OLD NATIONAL BANCORP,68003310,68003310,6020
OLD NATIONAL BANCORP,68003310,68003310,6022
OLD NATIONAL BANCORP,68003310,68003310,6021
OLD SECOND BANCORP INC,68027710,68027710,6710
OLD SECOND BANCORP INC,68027710,68027710,6020
ORIENTAL BANK AND TRUST PR,68618510,67103X10,6035
ORIENTAL FEDERAL SAVINGS BANK,68618810,67103X10,6035
ORIENTAL FINANCIAL GROUP INC,68618W10,67103X10,6035
ORIENTAL FINANCIAL GROUP INC,68618W10,67103X10,6022
ORITANI FINANCIAL CORP,68632310,68633D10,6712
ORITANI FINANCIAL CORP NEW,68633D10,68633D10,6712
ORRSTOWN FINANCIAL SERVICES INC,68738010,68738010,6022
PACIFIC CENTURY FINANCIAL CORP,69405810,06254010,6022
PACIFIC MERCANTILE BANCORP,69455210,69455210,6712
PACWEST BANCORP DE,69526310,69526310,6021
PARKE BANCORP INC,70088510,70088510,6022
PARKE BANK,70088610,70088510,6022
PARK NATIONAL CORP,70065810,70065810,6710
PARK NATIONAL CORP,70065810,70065810,6712
PARK NATIONAL CORP,70065810,70065810,6021
PARK STERLING BANK,70086W10,70086Y10,6022
PARK STERLING BANK NEW,70086Y10,70086Y10,6022
PEAPACK GLADSTONE FINANCIAL CORP,70469910,70469910,6022
PEAPACK GLADSTONE FINANCIAL CORP,70469910,70469910,6712
PENNS WOODS BANCORP INC,70843010,70843010,6022
PEOPLES BANCORP INC,70978910,70978910,6710
PEOPLES BANCORP INC,70978910,70978910,6020
PEOPLES BANCORP NC INC NEW,71057710,71057710,6025
PEOPLES BANK BRIDGEPORT,71019810,71270410,6020
PEOPLES BANK BRIDGEPORT,71019810,71270410,6030
PEOPLES BANK CATAWBA NC,71021510,71057710,6025
PEOPLES HOLDING CO,71114810,75970E10,6020
PEOPLES HOLDING CO,71114810,75970E10,6719
PEOPLES HOLDING CO,71114810,75970E10,6022
PEOPLES UNITED FINANCIAL INC,71270410,71270410,6036
PIKEVILLE NATIONAL CORP,72140010,20414910,6710
PINNACLE FINANCIAL PARTNERS INC,72346Q10,72346Q10,6021
P N C BANK CORP,69347510,69347510,6021
P N C FINANCIAL CORP,69347510,69347510,6025
P N C FINANCIAL SERVICES GRP INC,69347510,69347510,6021
PREMIER FINANCIAL BANCORP INC,74050M10,74050M10,6710
